Willow's Reef Aquatics,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarium Plants,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE FOR ORDERS:,,,,,,,,,,,,,,,,,,,,,,,,,
*Bulk pricing applies to quantities of 12 or more units,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Last Updated: 11/7/2016,,,,,,,,,,,,,,,,,,,,,,
PRODUCT NUMBER,DESCRIPTION,NAME,RETAIL PRICE/UNIT,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Pickerel Pink,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Radican Marble Queen,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Sagittaria, Montevidensis",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Spider Lily,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Spider Lily, Variegated",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Spikerush, Jointed",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Star Grass,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY Changeable Peach/Orange,Berit Strawn (S,$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY Changeable Peach/Orange,Cynthia Ann (S),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY Changeable Peach/Orange,Georgia Peach (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY Changeable Peach/Orange,Little Sue (S),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY Changeable Peach/Orange,Peach Glow (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY Changeable Peach/Orange,Pink Grapefruit (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Colorado (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Dallas (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Laydekeri Lilacea (S),$16.54 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Patio Joe (M),$16.54 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Perry's Fire Opal (M),$20.69 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Pink Sunrise (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Pink Capensis (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy pink,Shirley Bryne (M),$22.75 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - red,Attorney Elrod (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - red,Perry's Baby Red (S),$16.54 ,,,,,,,,,,,,,,,,,,,,,,
,lilies - hardy - white,Chubby (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Starbright (M),$17.94 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Betsy Sakata (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Charlene Strawn (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Chromatella (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Joey Tomocik (M),$15.17 ,,,,,,,,,,,,,,,,,,,,,,
,LILIES - HARDY - YELLOW,Mexicana (S-M),$14.48 ,,,,,,,,,,,,,,,,,,,,,,
